"","model","target","theta","lambda","rmse"
"134",27,4,8,0.01,0.169124052893165
"135",27,5,6,0.1,0.157904614579433
"136",28,1,8,0.2,0.207453447474472
"137",28,2,0.5,0.01,0.142318604965853
"138",28,3,8,0.1,0.175987881769031
"139",28,4,1,0.05,0.440014344412851
"140",28,5,2,0,0.235283313558333
"141",29,1,8,1,0.303603271815967
"142",29,2,4,0.05,0.261407400441489
"143",29,3,8,0.5,0.339103042850284
"144",29,4,8,0.2,0.160678579288513
"145",29,5,6,0.1,0.19765971161086
"146",30,1,8,5,0.538713343675525
"147",30,2,1,0.01,0.341137539659035
"148",30,3,8,0.2,0.344625923470819
"149",30,4,8,0.2,0.181453284111991
"150",30,5,3,0.05,0.199442529045334
"151",31,1,8,0.2,0.231986998431566
"152",31,2,8,1,0.285755383094896
"153",31,3,8,0.2,0.226723294696503
"154",31,4,8,0.2,0.180822746841765
"155",31,5,8,0.05,0.205983207116773
"156",32,1,8,1,0.361530239512812
"157",32,2,4,0.05,0.245340166403444
"158",32,3,8,0.5,0.19608306769793
"159",32,4,8,0.2,0.179208310599905
"160",32,5,8,0.2,0.189109401685196
"161",33,1,8,2,0.222846163450562
"162",33,2,2,0.05,0.297676008074157
"163",33,3,8,0.01,0.167939595455264
"164",33,4,4,0.01,0.224625874455444
"165",33,5,8,0.05,0.166675133854211
"166",34,1,8,0.05,0.189422710614307
"167",34,2,8,0.1,0.173461222101395
"168",34,3,8,0.05,0.155029948963122
"169",34,4,8,1,0.187056184353594
"170",34,5,0,0.01,0.384619898414914
"171",35,1,8,1,0.171180060196848
"172",35,2,8,0.2,0.204604760209674
"173",35,3,8,0.2,0.250742118198561
"174",35,4,8,0.2,0.154105632257256
"175",35,5,8,0.2,0.189219131516701
"176",36,1,8,0.5,0.19806279848213
"177",36,2,8,0.2,0.211177001160945
"178",36,3,8,0.5,0.359019628576437
"179",36,4,8,0.1,0.147015709529675
"180",36,5,8,0.2,0.160404212198443
"181",37,1,8,0.5,0.245452234265953
"182",37,2,8,0.2,0.178066573600226
"183",37,3,0.5,0.01,0.268762873791418
"184",37,4,8,0.2,0.174805889077048
"185",37,5,3,0.1,0.239015106623208
"186",38,1,8,1,0.230048749630563
"187",38,2,8,0.5,0.231101220148972
"188",38,3,0.1,0.01,0.282030169370278
"189",38,4,8,0.2,0.164285216165363
"190",38,5,8,0.2,0.179456160766201
"191",39,1,8,2,0.307357136694347
"192",39,2,8,1,0.300496642073979
"193",39,3,8,0.2,0.281363321216144
"194",39,4,6,0.1,0.196391210066045
"195",39,5,8,0.2,0.150322132568153
"196",40,1,0.5,0.05,0.35032235453952
"197",40,2,8,0.5,0.161960272577923
"198",40,3,4,0.01,0.180484247294285
"199",40,4,8,0.2,0.197453043961714
"200",40,5,6,0.1,0.175977815202889
"201",41,1,8,1,0.262769309083145
"202",41,2,8,0.2,0.225746666232443
"203",41,3,8,0.5,0.214890342360476
"204",41,4,8,0.1,0.143403881933854
"205",41,5,8,0.1,0.177628563543231
"206",42,1,8,2,0.433319351969783
"207",42,2,8,1,0.247457642906372
"208",42,3,0,0.01,0.332269520805079
"209",42,4,6,0.05,0.141834457396787
"210",42,5,3,0,0.168072730349971
"211",43,1,8,2,0.307403362274237
"212",43,2,4,0.1,0.227584128185019
"213",43,3,4,0.01,0.2165806927704
"214",43,4,8,0.2,0.185368440754994
"215",43,5,8,0.2,0.13524373953048
"216",44,1,8,0.2,0.127625077514951
"217",44,2,8,0.5,0.206616859312738
"218",44,3,4,0,0.186782742809099
"219",44,4,8,0.2,0.152193937893998
"220",44,5,8,0.2,0.147654217044626
"221",45,1,8,0.5,0.233141585501827
"222",45,2,8,0.2,0.221451986790139
"223",45,3,8,0.2,0.246124296502005
"224",45,4,8,0.5,0.183722275262613
"225",45,5,4,0.05,0.157371507977671
"226",46,1,8,1,0.256402892791063
"227",46,2,8,0.2,0.261052261097712
"228",46,3,8,0.2,0.196672934881568
"229",46,4,8,0.1,0.185464178719362
"230",46,5,8,0.05,0.159796442930472
"231",47,1,8,1,0.303639202348882
"232",47,2,8,0.5,0.266985574081389
"233",47,3,4,0.05,0.257386456210225
"234",47,4,1,0.01,0.178742213533272
"235",47,5,8,0.2,0.21070974772684
"236",48,1,8,0.5,0.145890389642023
"237",48,2,8,0.2,0.19421337452613
"238",48,3,8,0.1,0.237599848286102
"239",48,4,8,0.2,0.165713139341583
"240",48,5,8,0.2,0.185563678832283
"241",49,1,8,0.2,0.122285140004787
"242",49,2,8,0.05,0.189128959440096
"243",49,3,8,0.05,0.172170093674726
"244",49,4,6,0,0.189321166091151
"245",49,5,6,0.2,0.217363707818211
"246",50,1,8,0.2,0.315062352119149
"247",50,2,6,0.05,0.234273516894177
"248",50,3,0.5,0.01,0.239025090160842
"249",50,4,8,0.2,0.162531780411681
"250",50,5,8,0.2,0.181749281814388
