"","model","target","theta","lambda","rmse"
"134",27,4,8,0,0.169596265561109
"135",27,5,8,0.05,0.149616104057825
"136",28,1,8,0.05,0.208519286122624
"137",28,2,0.1,0,0.142637480954664
"138",28,3,8,0.05,0.18705372094271
"139",28,4,0.5,0.01,0.438751642631381
"140",28,5,2,0.05,0.235077651214063
"141",29,1,8,0.5,0.315321590354347
"142",29,2,8,0.05,0.260055553609457
"143",29,3,8,0.2,0.35201517439795
"144",29,4,8,0.05,0.161606106266244
"145",29,5,4,0,0.200857500890275
"146",30,1,8,0.5,0.540382117222748
"147",30,2,2,0.01,0.339211974226148
"148",30,3,4,0.05,0.342302717697211
"149",30,4,8,0.05,0.186265402273053
"150",30,5,3,0.01,0.201574233261571
"151",31,1,8,0.2,0.23598097879734
"152",31,2,8,0.2,0.29566447307128
"153",31,3,6,0.05,0.235700923814796
"154",31,4,6,0.01,0.18952084648269
"155",31,5,8,0,0.207061471917176
"156",32,1,8,1,0.372457235644968
"157",32,2,4,0.01,0.247806236507086
"158",32,3,8,0.1,0.195230054751054
"159",32,4,8,0.1,0.178337622384722
"160",32,5,8,0.1,0.190881225768009
"161",33,1,8,1,0.22981581408292
"162",33,2,1,0,0.299550579913008
"163",33,3,8,0.01,0.165411517930103
"164",33,4,8,0.1,0.224029223022313
"165",33,5,8,0.05,0.169133010689279
"166",34,1,8,0.01,0.187044343425471
"167",34,2,8,0.01,0.180912746666472
"168",34,3,8,0.05,0.146631741699755
"169",34,4,8,0.2,0.179457270324923
"170",34,5,0.5,0.05,0.382599234465223
"171",35,1,8,0.2,0.175018124404892
"172",35,2,8,0.2,0.201013583952944
"173",35,3,2,0.05,0.261228110927338
"174",35,4,8,0.05,0.158881536558765
"175",35,5,2,0.01,0.193860221799776
"176",36,1,8,0.1,0.202453624608366
"177",36,2,8,0.05,0.214607449415187
"178",36,3,8,0.1,0.364599691354763
"179",36,4,8,0.05,0.147472510226851
"180",36,5,8,0.05,0.170778206811023
"181",37,1,8,0.1,0.245715743143178
"182",37,2,8,0.1,0.170624899286106
"183",37,3,0.5,0.01,0.267296385773025
"184",37,4,8,0.05,0.177074853842402
"185",37,5,3,0.05,0.241192490139834
"186",38,1,8,0.5,0.243875591905829
"187",38,2,8,0.1,0.240636201552022
"188",38,3,0,0,0.28210705303019
"189",38,4,8,0.1,0.166405459854463
"190",38,5,8,0.1,0.185320976888375
"191",39,1,8,0.5,0.311065526852031
"192",39,2,8,1,0.31597426645933
"193",39,3,8,0.1,0.272222867258851
"194",39,4,4,0.01,0.198006164075462
"195",39,5,8,0.05,0.156354327000288
"196",40,1,3,0.05,0.348098400689271
"197",40,2,8,0.05,0.168342820466211
"198",40,3,4,0,0.182049882865855
"199",40,4,8,0.05,0.197408053841582
"200",40,5,6,0.05,0.178747661800838
"201",41,1,8,0.2,0.274495776107634
"202",41,2,8,0.1,0.23037929105078
"203",41,3,4,0.05,0.223014081191257
"204",41,4,8,0.05,0.145305569033681
"205",41,5,8,0.1,0.181504396858788
"206",42,1,8,1,0.441673611037564
"207",42,2,8,0.2,0.257092300892824
"208",42,3,0,0,0.332354154928191
"209",42,4,8,0.1,0.140855274864491
"210",42,5,3,0.01,0.167281982595647
"211",43,1,8,0.5,0.314581367656846
"212",43,2,3,0.01,0.230560334532723
"213",43,3,4,0.01,0.215031561646601
"214",43,4,8,0.2,0.18839695248037
"215",43,5,8,0.01,0.140836835431046
"216",44,1,8,0.05,0.137576453173142
"217",44,2,4,0.05,0.206968756186384
"218",44,3,4,0,0.186782742809099
"219",44,4,8,0.05,0.157205469486698
"220",44,5,8,0.05,0.150186226773042
"221",45,1,4,0.1,0.246906470878116
"222",45,2,8,0.05,0.220243529134246
"223",45,3,1,0.01,0.253126111784353
"224",45,4,8,0.2,0.183258219108406
"225",45,5,6,0.05,0.156145561355976
"226",46,1,0.5,0.01,0.258338307282405
"227",46,2,8,0.1,0.257103970998539
"228",46,3,4,0.05,0.203935546774319
"229",46,4,4,0.05,0.191972513073578
"230",46,5,8,0.05,0.161839299978222
"231",47,1,8,0.2,0.32688014519991
"232",47,2,4,0.01,0.282096052340889
"233",47,3,2,0,0.258332426217396
"234",47,4,4,0.05,0.175661789768568
"235",47,5,6,0.05,0.211766831702773
"236",48,1,8,0.2,0.148537226246595
"237",48,2,8,0.05,0.201346724994598
"238",48,3,8,0.05,0.238392924939787
"239",48,4,8,0.05,0.16900622724202
"240",48,5,8,0.05,0.188019032677648
"241",49,1,8,0.05,0.124077591812833
"242",49,2,8,0.05,0.1898411072178
"243",49,3,8,0.05,0.176309815142343
"244",49,4,8,0.05,0.186941564930732
"245",49,5,8,0.05,0.217586960357543
"246",50,1,8,0.1,0.321504678550155
"247",50,2,8,0.1,0.225776166930448
"248",50,3,0.1,0.01,0.238934298276981
"249",50,4,8,0.1,0.155558527429906
"250",50,5,2,0.01,0.184690065058266
