"","model","target","theta","lambda","rmse"
"134",27,4,8,0,0.169596265561109
"135",27,5,8,0.05,0.150952412372416
"136",28,1,8,0.05,0.207330549773847
"137",28,2,0.1,0,0.142637480954664
"138",28,3,8,0.05,0.181292165907618
"139",28,4,0.1,0.01,0.438250805880595
"140",28,5,2,0.05,0.233609884899131
"141",29,1,8,0.5,0.317446531956437
"142",29,2,8,0.05,0.259072778784133
"143",29,3,8,0.2,0.349186487732732
"144",29,4,8,0.1,0.160199475022144
"145",29,5,6,0.05,0.198952007884006
"146",30,1,8,1,0.539763438921499
"147",30,2,2,0.05,0.338161415208592
"148",30,3,4,0.05,0.343140898383894
"149",30,4,8,0.1,0.185545334351982
"150",30,5,2,0.01,0.201317885559967
"151",31,1,8,0.2,0.235930177211063
"152",31,2,8,0.5,0.295548656973417
"153",31,3,8,0.05,0.234333893603513
"154",31,4,8,0.05,0.186607166479141
"155",31,5,8,0.05,0.205681698758033
"156",32,1,8,1,0.372457235644968
"157",32,2,3,0.01,0.247517396122322
"158",32,3,8,0.2,0.193289527330309
"159",32,4,8,0.2,0.177045858995132
"160",32,5,8,0.1,0.191753717493923
"161",33,1,8,0.5,0.228673615209652
"162",33,2,1,0,0.299550579913008
"163",33,3,8,0.01,0.165764753343341
"164",33,4,8,0.1,0.224169981359284
"165",33,5,8,0.05,0.16649949062632
"166",34,1,8,0.05,0.187461117820939
"167",34,2,8,0.05,0.179894414805508
"168",34,3,8,0.05,0.147405675766282
"169",34,4,8,0.2,0.179250625707024
"170",34,5,0.5,0.05,0.38331037740189
"171",35,1,8,0.2,0.17318650232797
"172",35,2,8,0.2,0.200481253843256
"173",35,3,3,0.05,0.261599299829976
"174",35,4,8,0.1,0.157720942972025
"175",35,5,3,0.05,0.194283939766226
"176",36,1,8,0.2,0.201575998415572
"177",36,2,8,0.05,0.213155537817296
"178",36,3,8,0.2,0.361852465410403
"179",36,4,8,0.05,0.145543434040866
"180",36,5,8,0.1,0.169148497464778
"181",37,1,8,0.2,0.245292511744515
"182",37,2,8,0.1,0.170425383286303
"183",37,3,2,0.05,0.267252242270907
"184",37,4,8,0.05,0.176169507844794
"185",37,5,3,0.05,0.239677472182532
"186",38,1,8,0.5,0.241056411683817
"187",38,2,8,0.2,0.235081198192513
"188",38,3,0,0,0.28210705303019
"189",38,4,8,0.1,0.165143448502481
"190",38,5,8,0.1,0.182297772203612
"191",39,1,8,1,0.312357801330929
"192",39,2,8,2,0.31597426645933
"193",39,3,8,0.1,0.275606824772242
"194",39,4,6,0.05,0.197530478770295
