"","model","target","theta","lambda","rmse"
"130",26,5,8,0.2,0.102418969912719
"131",27,1,3,0,0.0759926592709627
"132",27,2,8,0.1,0.0671983939454718
"133",27,3,8,0.05,0.067198730379783
"134",27,4,6,0.01,0.0680061097683808
"135",27,5,8,0.1,0.120550069697599
"136",28,1,6,0,0.0571130146573631
"137",28,2,8,0.2,0.0921976412747141
"138",28,3,8,0.01,0.103242686080593
"139",28,4,6,0.05,0.071428394811648
"140",28,5,8,0.1,0.0898357422742239
"141",29,1,6,0.01,0.0535557052024119
"142",29,2,8,0.1,0.0776144793270164
"143",29,3,3,0.01,0.0761599741679939
"144",29,4,8,0.05,0.0878077301701394
"145",29,5,8,0.05,0.0995585803337933
"146",30,1,0.1,0,0.0758300500110697
"147",30,2,8,0.2,0.095759152010684
"148",30,3,8,0.05,0.0657528307037763
"149",30,4,8,0.05,0.0672107834850274
"150",30,5,8,0.05,0.116230870715727
"151",31,1,8,0.05,0.0651128736124995
"152",31,2,8,0.1,0.0720861091774803
"153",31,3,8,0.05,0.0947766010651493
"154",31,4,8,0.05,0.0740601247742552
"155",31,5,8,0.1,0.128133937739876
"156",32,1,8,0.01,0.0660429232607118
"157",32,2,8,0.01,0.0589262335337256
"158",32,3,6,0.05,0.0679620308576435
"159",32,4,8,0.1,0.0992247225222627
"160",32,5,8,0.1,0.0855882546855207
"161",33,1,6,0.01,0.0877686788778517
"162",33,2,8,0.2,0.110154242866936
"163",33,3,8,0.05,0.0745742193921289
"164",33,4,8,0.05,0.07967215979438
"165",33,5,8,0.2,0.111304778675135
"166",34,1,8,0.1,0.0781432541894075
"167",34,2,8,0.2,0.126706314226261
"168",34,3,4,0.01,0.0718212612567332
"169",34,4,8,0.5,0.0993937444180853
"170",34,5,8,0.1,0.0995781262777317
"171",35,1,3,0.01,0.0830800160648999
"172",35,2,8,0.1,0.0786024320541802
"173",35,3,8,0.01,0.0607096489917196
"174",35,4,4,0.01,0.0857252868136438
"175",35,5,8,0.2,0.138070695705946
"176",36,1,3,0.01,0.0761277268700135
"177",36,2,8,0.1,0.0795118875514231
"178",36,3,8,0.1,0.0640708223930656
"179",36,4,8,0.01,0.0794258172542423
"180",36,5,8,0.1,0.145636341148294
"181",37,1,8,0.1,0.093192688168343
"182",37,2,8,0.1,0.0600558105883172
"183",37,3,8,0.01,0.077801161526116
"184",37,4,8,0.1,0.0622912885378718
"185",37,5,8,0.05,0.095304305522175
"186",38,1,8,0.1,0.0634958405683256
"187",38,2,8,0.2,0.0645470068192861
"188",38,3,8,0.05,0.0670502163360248
"189",38,4,8,0.05,0.115262366049462
"190",38,5,8,0.05,0.120857515436645
"191",39,1,4,0,0.0720573177231833
"192",39,2,8,0.1,0.060809336555418
"193",39,3,8,0.01,0.0880822329021184
"194",39,4,8,0.05,0.0445963864564458
"195",39,5,8,0.05,0.0930489810441758
"196",40,1,8,0.1,0.0720875887119958
"197",40,2,8,0.2,0.0595450067545632
"198",40,3,8,0.05,0.0801581803414787
"199",40,4,8,0.05,0.0679176393006684
"200",40,5,8,0.05,0.100536649906666
"201",41,1,8,0.1,0.0544817503910485
"202",41,2,0,0,0.072586373890444
"203",41,3,8,0.1,0.0690288538393936
"204",41,4,8,0.1,0.146376378129756
"205",41,5,8,0.01,0.0972032720288399
"206",42,1,6,0.1,0.0910653644701682
"207",42,2,6,0.1,0.0865454584328672
"208",42,3,8,0.05,0.072073599658869
"209",42,4,6,0.01,0.0610035784654866
"210",42,5,8,0.05,0.137831108111856
"211",43,1,2,0.01,0.0805732748212879
"212",43,2,8,0.2,0.0675118977080333
