"","model","target","theta","lambda","rmse"
"132",27,2,8,0.1,0.0713765245734159
"133",27,3,8,0.01,0.0709987297471137
"134",27,4,4,0,0.0694376805078239
"135",27,5,8,0.05,0.127898379313333
"136",28,1,6,0,0.0571130146573631
"137",28,2,8,0.05,0.0963585662101335
"138",28,3,8,0.01,0.103768738142733
"139",28,4,6,0,0.0719087243382892
"140",28,5,8,0,0.0939463077296239
"141",29,1,6,0,0.0544407200295097
"142",29,2,8,0.05,0.074690946096363
"143",29,3,4,0.01,0.0760534719695399
"144",29,4,3,0,0.0924570835245693
"145",29,5,8,0.01,0.102829032744188
"146",30,1,0.1,0,0.0758300500110697
"147",30,2,8,0.01,0.102714376136505
"148",30,3,8,0.01,0.0678086026741704
"149",30,4,8,0,0.0694694688153117
"150",30,5,6,0,0.117725255195246
"151",31,1,8,0.01,0.0671210709987404
"152",31,2,8,0.05,0.0736972700751917
"153",31,3,6,0.01,0.0956090151830667
"154",31,4,8,0.05,0.0743302754855992
"155",31,5,8,0.05,0.132691912902795
"156",32,1,8,0.01,0.0653954204347398
"157",32,2,2,0,0.0590886242207602
"158",32,3,6,0.01,0.068533896330082
"159",32,4,8,0.01,0.0995465360697293
"160",32,5,8,0.01,0.0914700242541368
"161",33,1,6,0.05,0.0882478070123636
"162",33,2,8,0.05,0.117396862867594
"163",33,3,8,0.01,0.0762199702827713
"164",33,4,8,0.05,0.0875540934342234
"165",33,5,8,0.1,0.108191980697699
"166",34,1,6,0.01,0.0820678275611774
"167",34,2,8,0.1,0.135343576266366
"168",34,3,8,0.05,0.0715994204680675
"169",34,4,2,0,0.105969155758551
"170",34,5,8,0.05,0.102384896274655
"171",35,1,4,0.01,0.0819971978773181
"172",35,2,4,0.01,0.0821135048283778
"173",35,3,8,0.01,0.0612608357358422
"174",35,4,4,0,0.0863696668257863
"175",35,5,8,0.1,0.142484050658678
"176",36,1,3,0.01,0.0758285119145417
"177",36,2,8,0.01,0.0824528094271664
"178",36,3,8,0.05,0.0626035073452379
"179",36,4,6,0,0.0801802948484862
"180",36,5,4,0,0.147752405175384
"181",37,1,2,0.01,0.0966553482621137
"182",37,2,8,0,0.0692172649068294
"183",37,3,8,0.01,0.0787715910164792
"184",37,4,8,0.05,0.0645132644113201
"185",37,5,8,0,0.0969664979359031
"186",38,1,3,0.01,0.0687451913394447
"187",38,2,8,0.05,0.0666012861401481
"188",38,3,8,0.01,0.0688727635643305
"189",38,4,4,0.01,0.116731622979083
"190",38,5,8,0,0.125371171567616
"191",39,1,4,0,0.0720573177231833
"192",39,2,8,0.05,0.0652261706119529
"193",39,3,8,0,0.0891602605562447
