"","model","target","theta","lambda","rmse"
"137",28,2,8,8,0.464711421001186
"138",28,3,4,0.5,0.599701175361117
"139",28,4,2,0.05,0.885612904900486
"140",28,5,3,0.5,0.610839285839241
"141",29,1,6,2,0.704219654329042
"142",29,2,0.5,0.01,0.58422431759515
"143",29,3,6,2,0.721269132229888
"144",29,4,8,1,0.410457994587522
"145",29,5,3,0.2,0.528978405702753
"146",30,1,6,5,0.910586905041133
"147",30,2,1,0.1,0.772106673601488
"148",30,3,6,2,0.852707356331258
"149",30,4,4,0.1,0.548237719799833
"150",30,5,4,0.2,0.572462492283432
"151",31,1,6,1,0.635968941281617
"152",31,2,8,5,0.60315408933416
"153",31,3,2,0.2,0.585042646650112
"154",31,4,8,2,0.547988760284897
"155",31,5,3,0,0.559814997901501
"156",32,1,4,1,0.670827082937574
"157",32,2,8,8,0.62310791475081
"158",32,3,6,0.1,0.59356140430495
"159",32,4,8,1,0.391501542006838
"160",32,5,6,5,0.49212868126342
"161",33,1,6,0.5,0.681036049127084
"162",33,2,4,0.2,0.733745118556607
"163",33,3,8,0.5,0.451099365963289
"164",33,4,8,8,0.580999300202803
"165",33,5,2,0.05,0.466119023512658
"166",34,1,8,0.2,0.433913193801656
"167",34,2,1,0.05,0.387586436981274
"168",34,3,1,0.05,0.450715479795269
"169",34,4,6,0.01,0.518490569178549
"170",34,5,0,0.2,0.810803921091053
"171",35,1,8,2,0.430085062804362
"172",35,2,8,8,0.537458904789634
"173",35,3,1,0.2,0.718704637296739
"174",35,4,8,2,0.411159572632348
"175",35,5,8,2,0.460521876533133
"176",36,1,8,1,0.547325988082248
"177",36,2,2,0.1,0.595820658468277
"178",36,3,4,8,0.878327843128037
"179",36,4,6,0.2,0.398334303449208
"180",36,5,1,0.05,0.545890869512362
"181",37,1,8,8,0.6742392297587
"182",37,2,8,1,0.437368536501227
"183",37,3,8,2,0.47736029063833
"184",37,4,8,0.5,0.460537843725492
"185",37,5,4,0.5,0.612950251029662
"186",38,1,2,0.2,0.668810515956031
"187",38,2,6,2,0.625608608581838
"188",38,3,6,8,0.708294987199694
"189",38,4,6,0.5,0.462507779991864
"190",38,5,6,1,0.5928140210245
"191",39,1,2,0.5,0.88284587860394
"192",39,2,2,0.2,0.754022352598693
"193",39,3,4,0.2,0.548214890232346
"194",39,4,3,0.2,0.594009314361947
"195",39,5,6,0.5,0.473996227041998
"196",40,1,6,8,0.823424832272562
"197",40,2,8,2,0.398907911134991
"198",40,3,8,8,0.517117258798527
"199",40,4,4,0.5,0.49672581274107
"200",40,5,4,0.5,0.531614489889633
"201",41,1,8,8,0.665622208187174
"202",41,2,0,0.05,0.588737134302116
"203",41,3,8,1,0.449532939106384
"204",41,4,8,2,0.463393607856931
"205",41,5,8,8,0.482940442363837
"206",42,1,6,8,0.87491370529395
"207",42,2,3,0.1,0.584541205473622
"208",42,3,8,1,0.727841617144295
"209",42,4,0.5,0.01,0.442628739733018
"210",42,5,4,0.1,0.551396254360513
"211",43,1,8,1,0.519477391494345
"212",43,2,8,2,0.514316690750844
"213",43,3,8,1,0.531408271715775
