"","model","target","theta","lambda","rmse"
"136",28,1,2,0.1,0.483767332480432
"137",28,2,6,0.5,0.459320672139733
"138",28,3,8,8,0.605770375998998
"139",28,4,1,0.2,0.878046709984058
"140",28,5,3,0.2,0.611996740729243
"141",29,1,8,8,0.707258940072719
"142",29,2,1,0.05,0.579472967252337
"143",29,3,6,1,0.717314847114056
"144",29,4,8,0.5,0.411870584125413
"145",29,5,4,0.2,0.527038618986421
"146",30,1,6,2,0.907460593999423
"147",30,2,1,0.1,0.77108661442247
"148",30,3,2,0.2,0.852961097015762
"149",30,4,4,0.1,0.545719019285497
"150",30,5,4,0.2,0.569810346809268
"151",31,1,4,0.2,0.640300377369227
"152",31,2,8,1,0.603056439716812
"153",31,3,2,0.2,0.586783069355595
"154",31,4,8,1,0.542954661360451
"155",31,5,4,0.1,0.555985174380852
"156",32,1,3,0.2,0.676145066496493
"157",32,2,8,8,0.618197129062249
"158",32,3,6,0.05,0.593765410340016
"159",32,4,8,0.5,0.38879147696408
"160",32,5,6,1,0.483290484905822
"161",33,1,6,0.2,0.687245699087935
"162",33,2,4,0.05,0.73562185754818
"163",33,3,6,0.2,0.450300769576276
"164",33,4,8,5,0.578424178700847
"165",33,5,3,0.1,0.464296515039751
"166",34,1,8,0.2,0.437255340729062
"167",34,2,0.5,0.01,0.388439626604615
"168",34,3,0.1,0.01,0.451638463423752
"169",34,4,8,1,0.510966572412725
"170",34,5,1,0.2,0.813297760993927
"171",35,1,8,0.5,0.427890508895604
"172",35,2,8,8,0.535535199261433
"173",35,3,0.5,0.2,0.713544065970168
"174",35,4,8,1,0.408867770036818
"175",35,5,8,0.5,0.454128531498191
"176",36,1,8,0.5,0.53999304001377
"177",36,2,1,0.05,0.596599409655949
"178",36,3,6,5,0.876297332491823
"179",36,4,6,0.2,0.401759490865586
"180",36,5,1,0.1,0.542210822571829
"181",37,1,8,5,0.671357546249094
"182",37,2,8,0.5,0.431387685644723
"183",37,3,8,1,0.475648701217447
"184",37,4,8,0.5,0.456636767767113
"185",37,5,3,0.2,0.61374556413337
"186",38,1,3,0.2,0.659650983319524
"187",38,2,6,1,0.621443733469661
"188",38,3,6,5,0.707615529283458
"189",38,4,8,0.5,0.46113295367092
"190",38,5,6,0.5,0.589895018608627
"191",39,1,2,0.2,0.886170923441672
"192",39,2,1,0.2,0.745225625434077
"193",39,3,6,0.2,0.54615616568926
"194",39,4,8,2,0.59303352293616
"195",39,5,4,0.2,0.47924527481748
"196",40,1,6,5,0.822506030919005
"197",40,2,8,1,0.405807741193567
"198",40,3,8,8,0.51135431889681
"199",40,4,3,0.2,0.496641101704168
"200",40,5,6,0.5,0.525422241219758
"201",41,1,8,5,0.664368746826592
"202",41,2,0,0.05,0.586306953313961
"203",41,3,8,0.5,0.444917832717458
"204",41,4,8,0.5,0.461326268371359
"205",41,5,6,0.5,0.475583340717072
"206",42,1,6,5,0.875277602887921
"207",42,2,2,0.2,0.582548079063941
"208",42,3,8,0.5,0.733254276580644
"209",42,4,2,0.05,0.442341658067035
"210",42,5,4,0.1,0.549474911344044
"211",43,1,8,0.5,0.523314226352607
"212",43,2,8,5,0.518540831463462
"213",43,3,8,0.5,0.542424858525908
"214",43,4,4,0.2,0.480436480900754
"215",43,5,8,0.1,0.441812090896518
"216",44,1,3,0.2,0.540395417167778
"217",44,2,8,5,0.500428115487228
"218",44,3,8,8,0.497216986556751
"219",44,4,8,2,0.463703014475746
"220",44,5,6,0.1,0.458934657023153
"221",45,1,8,5,0.564646073202006
"222",45,2,2,0.1,0.639304761384895
"223",45,3,6,1,0.700157809502215
"224",45,4,6,0.5,0.470902423235361
"225",45,5,8,1,0.482416833443248
"226",46,1,8,0.5,0.560050611352519
"227",46,2,6,5,0.653445637117388
"228",46,3,0.5,0.05,0.527903086786301
"229",46,4,8,1,0.462256772409838
"230",46,5,6,1,0.492146278589185
"231",47,1,3,0.2,0.714977005426137
"232",47,2,8,0.5,0.64495281582348
"233",47,3,8,2,0.623895374467009
"234",47,4,2,0.2,0.467406399388538
"235",47,5,4,0.2,0.536845306550902
"236",48,1,8,1,0.327834157680304
"237",48,2,8,5,0.567002234593383
"238",48,3,8,2,0.537401800705444
"239",48,4,6,0.2,0.401529099150437
"240",48,5,8,1,0.589804586665701
"241",49,1,2,0.1,0.481980693893987
"242",49,2,8,8,0.409621776355887
"243",49,3,8,0.1,0.437798019849008
"244",49,4,8,0.5,0.516071890155607
"245",49,5,6,0.2,0.582208394480241
"246",50,1,0,0.2,0.69794893336142
"247",50,2,8,1,0.444043946728571
"248",50,3,0,0.05,0.577974155218176
"249",50,4,4,0.1,0.405905848740984
"250",50,5,6,0.5,0.452790417353034
