"","model","target","theta","lambda","rmse"
"134",27,4,3,0.05,0.511368247508135
"135",27,5,4,0.1,0.436573953831835
"136",28,1,2,0.05,0.48374248920589
"137",28,2,6,0.2,0.454265485126195
"138",28,3,8,2,0.605770375998998
"139",28,4,0.5,0.05,0.873889323280521
"140",28,5,3,0.05,0.614867544398945
"141",29,1,8,2,0.707258940072719
"142",29,2,2,0.05,0.568672467099932
"143",29,3,8,0.5,0.712754806231544
"144",29,4,8,0.2,0.413231255233234
"145",29,5,3,0.05,0.530292215715669
"146",30,1,6,0.5,0.908843496400471
"147",30,2,1,0.05,0.769488944152481
"148",30,3,2,0.05,0.853088915711848
"149",30,4,8,0.1,0.536630240713412
"150",30,5,6,0.2,0.567476524306246
"151",31,1,4,0.05,0.645803936649852
"152",31,2,1,0.1,0.595029727579097
"153",31,3,2,0.1,0.587617072513491
"154",31,4,8,0.2,0.546252213432897
"155",31,5,4,0.05,0.548205906798628
"156",32,1,6,1,0.680118028500167
"157",32,2,8,2,0.618197129062249
"158",32,3,6,0.01,0.59390967438008
"159",32,4,8,0.2,0.387035552932723
"160",32,5,6,0.2,0.482304009104648
"161",33,1,6,0.2,0.690727238093507
"162",33,2,4,0.01,0.735766382652362
"163",33,3,6,0.1,0.450826921560609
"164",33,4,8,1,0.578424178700847
"165",33,5,3,0.05,0.457946300506431
"166",34,1,8,0.2,0.431998136927638
"167",34,2,0.1,0,0.388909419071904
"168",34,3,0,0.01,0.451643224424417
"169",34,4,8,0.2,0.506344824866895
"170",34,5,0.5,0.05,0.811313520763171
"171",35,1,6,0.2,0.426472640300325
"172",35,2,8,2,0.535535199261433
"173",35,3,1,0.1,0.705067101999599
"174",35,4,8,0.2,0.404002429838903
"175",35,5,8,0.2,0.453755469814463
"176",36,1,8,0.2,0.544777871641287
"177",36,2,0.5,0.01,0.596114273708077
"178",36,3,6,1,0.876297332491823
"179",36,4,8,0.2,0.409008090869095
"180",36,5,2,0.1,0.535610260829726
"181",37,1,8,1,0.671357546249094
"182",37,2,6,0.2,0.422755521939138
"183",37,3,8,1,0.481679003167283
"184",37,4,8,0.1,0.449490040100506
"185",37,5,3,0.1,0.613570211757106
"186",38,1,3,0.1,0.652750967280567
"187",38,2,6,0.2,0.621174967886297
"188",38,3,6,1,0.707615529283458
"189",38,4,8,0.2,0.456403875705195
"190",38,5,4,0.1,0.590474107720665
"191",39,1,2,0.1,0.885425317310169
"192",39,2,2,0.1,0.73678529739961
"193",39,3,6,0.05,0.549329830575327
"194",39,4,8,0.5,0.590267807592618
"195",39,5,4,0.1,0.481028358481823
"196",40,1,6,1,0.822506030919005
"197",40,2,8,0.2,0.404655677879619
"198",40,3,8,2,0.51135431889681
"199",40,4,4,0.1,0.496798381073322
"200",40,5,6,0.2,0.513813483858786
"201",41,1,8,1,0.664368746826592
"202",41,2,0,0.01,0.588134493617488
"203",41,3,8,0.1,0.449150236205454
"204",41,4,6,0.2,0.454346991845811
"205",41,5,6,0.2,0.477653182404819
"206",42,1,6,1,0.875277602887921
"207",42,2,3,0.1,0.57984448601743
"208",42,3,8,0.2,0.734335521093456
"209",42,4,3,0.05,0.440015878079501
"210",42,5,4,0.05,0.549708192535732
"211",43,1,8,0.2,0.528364357952957
"212",43,2,8,1,0.518540831463462
"213",43,3,6,0.01,0.550602664098834
"214",43,4,4,0.1,0.471111651889235
"215",43,5,8,0.01,0.444683498051678
"216",44,1,4,0.2,0.53720825878023
"217",44,2,8,1,0.500428115487228
"218",44,3,8,2,0.497216986556751
"219",44,4,6,0.2,0.460976286303129
"220",44,5,6,0.05,0.45377892108509
"221",45,1,8,0.5,0.559620926537035
"222",45,2,2,0.05,0.642108903410491
"223",45,3,6,0.2,0.694687777466847
"224",45,4,6,0.2,0.464643971719483
"225",45,5,8,0.2,0.478283381316738
"226",46,1,8,0.2,0.557347205473633
"227",46,2,6,1,0.653445637117388
"228",46,3,0.5,0,0.529015539633077
"229",46,4,6,0.2,0.457825877265249
"230",46,5,6,0.2,0.487966769293114
"231",47,1,4,0.1,0.716683164523284
"232",47,2,6,0.1,0.645418097047321
"233",47,3,8,0.5,0.622154076071252
"234",47,4,4,0.2,0.457990399049085
"235",47,5,4,0.05,0.538900430527187
"236",48,1,8,2,0.330775477950548
"237",48,2,8,1,0.567002234593383
"238",48,3,8,0.5,0.535837027981598
"239",48,4,8,0.1,0.396705960995962
"240",48,5,8,0.2,0.587760849572143
"241",49,1,3,0.05,0.483946155448725
"242",49,2,8,2,0.409621776355887
"243",49,3,8,0.01,0.438753900201222
"244",49,4,4,0.1,0.51513371378766
"245",49,5,6,0.2,0.582907829787307
"246",50,1,0,0.05,0.693307363446458
"247",50,2,8,0.5,0.444870712152856
"248",50,3,0,0.01,0.57624970101956
"249",50,4,8,0.2,0.402234297235318
"250",50,5,6,0.1,0.447218337341498
