"","model","target","theta","lambda","rmse"
"145",29,5,4,0,0.193563837312263
"146",30,1,1,0,0.129808207438109
"147",30,2,6,0,0.124144847288349
"148",30,3,6,0,0.127989332785088
"149",30,4,4,0,0.145593252840904
"150",30,5,2,0,0.195537529571408
"151",31,1,2,0,0.196956063600148
"152",31,2,4,0,0.112426537297744
"153",31,3,0.5,0,0.137151782905744
"154",31,4,8,0,0.206700997639848
"155",31,5,1,0,0.264169921239037
"156",32,1,1,0,0.178378963712215
"157",32,2,4,0,0.120680386416633
"158",32,3,3,0,0.143500747519395
"159",32,4,4,0,0.136221667021203
"160",32,5,2,0,0.163002864815993
"161",33,1,1,0,0.133202914005536
"162",33,2,1,0,0.12647714055697
"163",33,3,2,0,0.133229451353494
"164",33,4,6,0,0.140250752693953
"165",33,5,3,0,0.20477588425593
"166",34,1,3,0,0.124503449259661
"167",34,2,6,0,0.105102364553797
"168",34,3,6,0,0.149054522901586
"169",34,4,6,0,0.122368115060216
"170",34,5,2,0,0.211683279191521
"171",35,1,0.5,0,0.137399348336442
"172",35,2,0.5,0,0.13428332578408
"173",35,3,1,0,0.184506537925842
"174",35,4,0.5,0,0.173244753237177
"175",35,5,2,0,0.23091680647912
"176",36,1,4,0,0.109450618721595
"177",36,2,4,0,0.162194766720417
"178",36,3,1,0,0.12651306125702
"179",36,4,1,0,0.124340415695057
"180",36,5,4,0,0.183891043614004
"181",37,1,8,0,0.138873156483753
"182",37,2,4,0,0.12950053714304
"183",37,3,3,0,0.11895356029829
"184",37,4,1,0,0.108110116242367
"185",37,5,3,0,0.22052731667121
"186",38,1,4,0,0.100167477316481
"187",38,2,6,0,0.134422191995471
"188",38,3,4,0,0.137413219321802
"189",38,4,2,0,0.0836479271646906
"190",38,5,4,0,0.166040411737014
"191",39,1,2,0,0.146680072094602
"192",39,2,2,0,0.174965518307065
"193",39,3,6,0,0.132553355973353
"194",39,4,3,0,0.143319208515506
"195",39,5,4,0,0.163338136533479
"196",40,1,4,0,0.166179534027372
"197",40,2,4,0,0.15381251296143
