"","model","target","theta","lambda","rmse"
"134",27,4,8,1,0.142402353677048
"135",27,5,6,0.2,0.240501959882507
"136",28,1,8,0.2,0.150342688993579
"137",28,2,8,0.5,0.151434277341244
"138",28,3,8,0,0.155528309455178
"139",28,4,8,0.1,0.098862649767796
"140",28,5,4,0.1,0.179506367472889
"141",29,1,2,0.01,0.13094546701215
"142",29,2,6,0.2,0.223689246728626
"143",29,3,8,0.05,0.123838212121696
"144",29,4,4,0.05,0.15772129372057
"145",29,5,8,0.2,0.184734674285851
"146",30,1,8,0.2,0.125301993691241
"147",30,2,8,0.2,0.108785672878253
"148",30,3,8,0.1,0.118423358341846
"149",30,4,8,0.1,0.141360493242189
"150",30,5,8,0.2,0.185997756517144
"151",31,1,6,0.05,0.19085709169939
"152",31,2,6,0.2,0.103124097905108
"153",31,3,2,0.01,0.136035547252975
"154",31,4,8,0.2,0.224634988214859
"155",31,5,4,0.1,0.256615963498871
"156",32,1,8,2,0.167523830110483
"157",32,2,8,0.2,0.112579122979052
"158",32,3,6,0.01,0.142511967903294
"159",32,4,8,0.05,0.130619735295807
"160",32,5,8,0.2,0.147551063870919
"161",33,1,4,0.05,0.13029972781702
"162",33,2,2,0,0.126456312075477
"163",33,3,4,0.01,0.133183017438527
"164",33,4,8,0.05,0.140004914686491
"165",33,5,8,1,0.182162240052419
"166",34,1,8,0.5,0.101851392027526
"167",34,2,8,0.1,0.110146737828623
"168",34,3,3,0.01,0.15055299633918
"169",34,4,8,0.2,0.117877509347373
"170",34,5,8,0.2,0.203150898003404
"171",35,1,1,0,0.137406746802378
"172",35,2,8,0.2,0.130199377019603
"173",35,3,4,0.05,0.183579281268164
"174",35,4,8,8,0.171291084259337
"175",35,5,4,0.05,0.228588703193062
"176",36,1,8,0.2,0.0983622760264951
"177",36,2,8,0.1,0.155889011486243
"178",36,3,8,0.1,0.124954017157022
"179",36,4,2,0.01,0.124302687975785
"180",36,5,8,0.2,0.178289237704475
"181",37,1,8,0.2,0.158747617867687
"182",37,2,8,0.2,0.112108005695985
"183",37,3,8,0.05,0.116643558813608
"184",37,4,6,0.05,0.106098659702891
"185",37,5,8,0.2,0.210286813613858
"186",38,1,8,0.05,0.0963826639902709
"187",38,2,8,0.5,0.122972104599655
"188",38,3,8,0.05,0.132386853270041
"189",38,4,8,0.1,0.0740176417780202
"190",38,5,8,0.2,0.15912612829607
"191",39,1,3,0.05,0.145409299340564
"192",39,2,4,0.05,0.172135652675649
"193",39,3,8,0.2,0.129595924277905
"194",39,4,6,0.05,0.141319476314326
"195",39,5,8,0.2,0.154472675447417
"196",40,1,8,0.5,0.154077317991228
"197",40,2,8,0.2,0.143268942351784
"198",40,3,3,0.05,0.224952333704489
"199",40,4,8,0.1,0.116505274751852
"200",40,5,8,0.1,0.132572019762186
"201",41,1,8,0.05,0.149217894140976
"202",41,2,2,0.01,0.15299334846806
"203",41,3,8,0.2,0.163252507341553
"204",41,4,8,0.1,0.128906951177003
"205",41,5,8,0.2,0.134682386788871
"206",42,1,4,0.05,0.159474298032618
"207",42,2,8,0.2,0.138374012488138
"208",42,3,8,0.01,0.124349838995127
"209",42,4,8,0.01,0.121681025807131
"210",42,5,8,0.1,0.185642389739701
"211",43,1,8,0.2,0.168036894378381
"212",43,2,8,0.1,0.166814239995791
"213",43,3,4,0.05,0.17170428319839
"214",43,4,8,0.2,0.123865541909039
"215",43,5,8,0.2,0.146941413710211
"216",44,1,1,0.01,0.182563748767308
"217",44,2,8,0.5,0.147487568361058
"218",44,3,8,0.5,0.126020681153638
"219",44,4,4,0.05,0.140738795789453
"220",44,5,6,0.2,0.17253750251541
"221",45,1,8,1,0.103467000339176
"222",45,2,8,0.5,0.199521720935625
"223",45,3,3,0.05,0.124367400986099
"224",45,4,8,0.05,0.14746902401814
"225",45,5,8,0.2,0.162454384056277
"226",46,1,8,0.2,0.0976513866154017
"227",46,2,8,0.05,0.122322199979555
"228",46,3,8,0.01,0.117654542346407
"229",46,4,8,0.2,0.216789831757881
"230",46,5,8,0.2,0.176719767387393
"231",47,1,8,0.05,0.116894874981061
