"","model","target","theta","lambda","rmse"
"138",28,3,0.1,0.01,0.392387410853701
"139",28,4,4,0.2,0.344853477494708
"140",28,5,1,0.2,0.526428843175788
"141",29,1,8,0.5,0.265739462636691
"142",29,2,0,0.01,0.460628756013216
"143",29,3,3,0.2,0.476272027941401
"144",29,4,8,8,0.43131171253846
"145",29,5,4,0.5,0.500731688145377
"146",30,1,8,1,0.21395075628816
"147",30,2,2,0.1,0.423212302967822
"148",30,3,3,0.2,0.543482646448326
"149",30,4,1,0.01,0.374487276209806
"150",30,5,4,0.2,0.446924654888016
"151",31,1,0.5,0.01,0.388559647319297
"152",31,2,8,2,0.345786027353228
"153",31,3,2,0.05,0.332380957796933
"154",31,4,8,5,0.509240919947165
"155",31,5,6,0.5,0.639499001598276
"156",32,1,8,8,0.354918962984383
"157",32,2,6,2,0.284487229392189
"158",32,3,8,8,0.461852149484728
"159",32,4,4,0.5,0.418742597584112
"160",32,5,8,0.5,0.421007532873804
"161",33,1,0,0.01,0.42213188725625
"162",33,2,8,0.1,0.394371865367259
"163",33,3,0,0.01,0.377754619188153
"164",33,4,6,8,0.398442464855724
"165",33,5,3,0.5,0.528477422607853
"166",34,1,8,1,0.325247981297074
"167",34,2,2,0.1,0.353587189942494
"168",34,3,6,0.5,0.376967837520551
"169",34,4,8,0.2,0.264347097542401
"170",34,5,4,0.5,0.573510663854717
"171",35,1,0,0.01,0.381642107682702
"172",35,2,8,2,0.444920125773362
"173",35,3,8,0.2,0.515848149288323
"174",35,4,8,8,0.331642735572127
"175",35,5,2,0.05,0.58033155401617
"176",36,1,8,8,0.411464010133716
"177",36,2,8,1,0.350007758322678
"178",36,3,2,0.01,0.338631844941007
"179",36,4,8,1,0.324850476415137
"180",36,5,6,2,0.413916781113464
"181",37,1,1,0.01,0.378918314445363
"182",37,2,8,2,0.280627324166568
"183",37,3,8,0.05,0.477804237940941
"184",37,4,2,0.1,0.310543298442343
"185",37,5,6,2,0.500748218775296
"186",38,1,8,1,0.34638948921247
"187",38,2,6,5,0.33958280481767
"188",38,3,1,0.01,0.420884592628242
"189",38,4,1,0.01,0.421220368275616
"190",38,5,8,8,0.400957393974933
"191",39,1,8,0.5,0.341496646594633
"192",39,2,8,1,0.346852362031289
"193",39,3,4,0.2,0.338873917317091
"194",39,4,8,2,0.36142224707981
"195",39,5,8,0.5,0.452336239372539
"196",40,1,8,5,0.402494693351436
"197",40,2,8,8,0.421267825414813
"198",40,3,8,8,0.431427582395559
"199",40,4,4,0.1,0.264646101365853
"200",40,5,6,0.5,0.410090231083399
"201",41,1,4,0.5,0.426687091408362
"202",41,2,1,0.05,0.420636722376604
"203",41,3,8,0.5,0.352123368089807
"204",41,4,6,1,0.49222688466795
"205",41,5,8,2,0.439088101343425
"206",42,1,6,1,0.412915019371342
"207",42,2,6,1,0.366842392587138
"208",42,3,8,0.2,0.34071486847282
"209",42,4,6,0.5,0.383135223092347
"210",42,5,6,0.5,0.54122296143653
"211",43,1,2,0.2,0.606398440557404
"212",43,2,8,5,0.469677661345647
"213",43,3,6,0.01,0.304552675157094
"214",43,4,2,0.2,0.431561848962703
"215",43,5,6,0.2,0.386849323591979
"216",44,1,0,0.01,0.447697618997584
"217",44,2,6,2,0.447223381431647
"218",44,3,6,1,0.413653019343375
"219",44,4,8,1,0.379764519663795
"220",44,5,8,8,0.549028386715656
"221",45,1,8,8,0.289853646848024
"222",45,2,8,0.5,0.468507732905715
"223",45,3,8,8,0.338243880484959
"224",45,4,8,1,0.417373215703155
"225",45,5,6,0.5,0.469316574082554
"226",46,1,6,8,0.496907948488791
"227",46,2,0,0.01,0.355365580887758
"228",46,3,3,0.05,0.292174997315847
"229",46,4,3,0.2,0.468683046054927
"230",46,5,8,2,0.545351799732973
"231",47,1,2,0.05,0.337924893223089
"232",47,2,8,8,0.392701391196859
"233",47,3,3,0.2,0.546349493985684
"234",47,4,8,8,0.315401340320881
"235",47,5,8,2,0.437025119714367
"236",48,1,8,5,0.372070341215454
"237",48,2,8,8,0.349313757474576
"238",48,3,6,2,0.415643930109457
"239",48,4,6,0.2,0.367813473709312
"240",48,5,4,0.2,0.577221794379354
"241",49,1,6,0.2,0.446600587413083
"242",49,2,4,0.5,0.550157732980103
"243",49,3,2,0.01,0.371727699736605
"244",49,4,6,0.5,0.627894255929367
"245",49,5,2,0.5,0.77872350615337
"246",50,1,8,1,0.477640602758197
"247",50,2,0,0.01,0.408255651507815
"248",50,3,1,0.05,0.391394331517527
"249",50,4,3,0.2,0.425785398275326
"250",50,5,6,1,0.74312178121892
