"","model","target","theta","lambda","rmse"
"136",28,1,0,0.01,0.475388931903773
"137",28,2,8,1,0.412894582083232
"138",28,3,0,0.01,0.390892366867543
"139",28,4,4,0.1,0.34596374907996
"140",28,5,1,0.05,0.527414719470062
"141",29,1,8,0.05,0.282598484886292
"142",29,2,0,0.05,0.455924278972509
"143",29,3,3,0,0.485138941199749
"144",29,4,8,1,0.429378510759728
"145",29,5,3,0.1,0.502071480286639
"146",30,1,0.5,0.05,0.223859533622853
"147",30,2,2,0.1,0.421900894425514
"148",30,3,3,0.1,0.541879589952592
"149",30,4,1,0.01,0.374669306963657
"150",30,5,4,0.05,0.452942233910123
"151",31,1,0.5,0.01,0.386965387041526
"152",31,2,8,0.5,0.350132910882639
"153",31,3,1,0.05,0.329362802561543
"154",31,4,8,0.5,0.509136380691249
"155",31,5,6,0.2,0.646889038641054
"156",32,1,8,1,0.355345926684591
"157",32,2,6,1,0.289784547880007
"158",32,3,8,2,0.45984193803261
"159",32,4,4,0.1,0.434179463206931
"160",32,5,8,0.1,0.424853938155501
"161",33,1,0,0.05,0.419864385170357
"162",33,2,8,0.05,0.38663223448273
"163",33,3,0,0.01,0.375031607806819
"164",33,4,6,0.5,0.390272256925362
"165",33,5,8,0.5,0.531954839319864
"166",34,1,8,0.2,0.33259383564446
"167",34,2,0.5,0,0.357630582658176
"168",34,3,6,0.1,0.380615255905222
"169",34,4,8,0.2,0.259751881448939
"170",34,5,3,0.1,0.570166769054663
"171",35,1,0,0.05,0.379507741576325
"172",35,2,8,0.5,0.447158634915856
"173",35,3,8,0.1,0.51387434070897
"174",35,4,8,0.5,0.332127325167389
"175",35,5,2,0,0.581299755411587
"176",36,1,8,1,0.408672877206282
"177",36,2,8,1,0.352968138475415
"178",36,3,3,0.05,0.338217264734796
"179",36,4,8,0.2,0.323900397144226
"180",36,5,6,0.2,0.409872576100646
"181",37,1,1,0,0.379489495854115
"182",37,2,8,0.2,0.281899353327428
"183",37,3,8,0,0.478500787085135
"184",37,4,2,0.01,0.316410165688343
"185",37,5,6,0.5,0.496855836103052
"186",38,1,8,0.2,0.346769949578309
"187",38,2,6,1,0.343545202273514
"188",38,3,1,0.01,0.416991696365054
"189",38,4,0.5,0.05,0.415103912902987
"190",38,5,8,0.5,0.395735662566338
"191",39,1,8,0,0.350637868844712
"192",39,2,8,1,0.353022773705353
"193",39,3,6,0.2,0.335936597740383
"194",39,4,1,0.05,0.361581875491594
"195",39,5,8,0.1,0.454619868951556
"196",40,1,8,1,0.40472152257213
"197",40,2,8,0.5,0.420292231219747
"198",40,3,8,2,0.437728101660368
"199",40,4,4,0,0.2682018868701
"200",40,5,8,0.5,0.41938342035623
"201",41,1,8,2,0.433442480179662
"202",41,2,0.5,0.01,0.421879002635849
"203",41,3,8,0.2,0.342139243325678
"204",41,4,6,0.1,0.491404801585794
"205",41,5,8,0.5,0.441375312406198
"206",42,1,8,0.5,0.415788722296413
"207",42,2,8,1,0.372597640269046
"208",42,3,8,0.05,0.342125987979884
"209",42,4,6,1,0.395889197761128
"210",42,5,4,0.1,0.531963159180504
"211",43,1,0.5,0,0.613125218566617
"212",43,2,8,2,0.471192009713044
"213",43,3,6,0,0.304771157133339
"214",43,4,1,0.05,0.431717907160709
"215",43,5,8,0.2,0.380546126000118
"216",44,1,0,0.01,0.445107323547129
"217",44,2,8,1,0.452462000289091
"218",44,3,6,0.2,0.415854471763099
"219",44,4,8,0.2,0.38833749311227
"220",44,5,8,0.5,0.547797226282503
"221",45,1,8,2,0.288420024044782
"222",45,2,8,0.1,0.468432459307515
"223",45,3,8,2,0.334654930226428
"224",45,4,2,0.05,0.421301189346421
"225",45,5,6,0.2,0.467730539695467
"226",46,1,8,1,0.488711705034237
"227",46,2,0,0.05,0.354502731641572
"228",46,3,3,0.01,0.293780716662877
"229",46,4,4,0.1,0.471881270158454
"230",46,5,6,0.2,0.540490050743074
"231",47,1,2,0.05,0.334276117742537
"232",47,2,8,2,0.391363963070778
"233",47,3,2,0.05,0.547632815738941
"234",47,4,8,2,0.312966087168451
"235",47,5,8,0.2,0.436352978549045
"236",48,1,8,1,0.372580629037549
"237",48,2,8,1,0.347538748523566
"238",48,3,3,0.1,0.409349399329472
"239",48,4,8,0.1,0.362695959416976
"240",48,5,6,0.1,0.568255265296306
"241",49,1,8,0.5,0.440680511781912
"242",49,2,6,0.1,0.54669368709573
"243",49,3,4,0.1,0.36368562029605
"244",49,4,6,0.1,0.614841662010342
"245",49,5,2,0.2,0.770917427849554
"246",50,1,6,0.2,0.481385616852997
"247",50,2,0,0.05,0.405687347385863
"248",50,3,1,0.01,0.392986226302079
"249",50,4,2,0.01,0.428291227368306
"250",50,5,6,0.2,0.737965801453627
