"","model","target","theta","lambda","rmse"
"136",28,1,0,0.01,0.475509190663652
"137",28,2,8,1,0.412894582083232
"138",28,3,0,0.01,0.39103470403216
"139",28,4,4,0.1,0.347073066556427
"140",28,5,4,0.2,0.528371738600318
"141",29,1,8,0.05,0.283930939256717
"142",29,2,0,0.01,0.45471335463187
"143",29,3,3,0,0.485138941199749
"144",29,4,8,1,0.429378510759728
"145",29,5,3,0.1,0.502513812522565
"146",30,1,0.5,0.05,0.223675469626097
"147",30,2,2,0.1,0.421699150426658
"148",30,3,4,0.1,0.541413755677259
"149",30,4,1,0.01,0.374697271929471
"150",30,5,4,0.05,0.453966452084806
"151",31,1,0.5,0.01,0.387193479730381
"152",31,2,8,0.5,0.34767277599419
"153",31,3,1,0.01,0.32977914936703
"154",31,4,8,0.5,0.509636719954651
"155",31,5,6,0.2,0.649575408441605
"156",32,1,8,1,0.355345926684591
"157",32,2,6,1,0.290035612860168
"158",32,3,8,1,0.45984193803261
"159",32,4,6,0.1,0.435980494617113
"160",32,5,6,0.2,0.425209315105513
"161",33,1,0,0.01,0.420660112131219
"162",33,2,8,0.05,0.386371492477339
"163",33,3,0,0.01,0.374859202117958
"164",33,4,6,0.5,0.389652699407823
"165",33,5,8,0.2,0.531325317630938
"166",34,1,8,0.2,0.332758721410572
"167",34,2,0.5,0,0.357630582658176
"168",34,3,6,0.1,0.382917110245206
"169",34,4,8,0.1,0.259177531981744
"170",34,5,3,0.1,0.570109382152312
"171",35,1,0,0.05,0.378779117688652
"172",35,2,8,0.5,0.446444543357315
"173",35,3,8,0.1,0.513879229910568
"174",35,4,8,0.5,0.331777905920373
"175",35,5,2,0,0.581299755411587
"176",36,1,8,0.5,0.408213603401451
"177",36,2,8,1,0.352968138475415
"178",36,3,3,0.05,0.337876040092835
"179",36,4,8,0.1,0.325653296439573
"180",36,5,6,0.2,0.40951238626849
"181",37,1,1,0,0.379489495854115
"182",37,2,8,0.1,0.282626325574526
"183",37,3,8,0,0.478500787085135
"184",37,4,2,0,0.316799629407062
"185",37,5,8,0.2,0.499001407145866
"186",38,1,8,0.2,0.347361824615267
"187",38,2,6,1,0.343545202273514
"188",38,3,1,0.01,0.416752878268462
"189",38,4,0.5,0.05,0.415045728490699
"190",38,5,6,0.2,0.39676256738842
"191",39,1,8,0,0.350637868844712
"192",39,2,8,0.5,0.352865111511181
"193",39,3,4,0.05,0.336291567035556
"194",39,4,2,0.05,0.361923783803638
"195",39,5,8,0.2,0.454682132223803
"196",40,1,8,1,0.40472152257213
"197",40,2,8,0.5,0.417810375030419
"198",40,3,8,2,0.437728101660368
"199",40,4,4,0,0.2682018868701
"200",40,5,6,0.2,0.417406319160238
"201",41,1,8,1,0.433442480179662
"202",41,2,0.5,0,0.421927245346477
"203",41,3,8,0.2,0.341598361824972
"204",41,4,6,0.1,0.491979652599679
"205",41,5,8,0.5,0.441317351165053
"206",42,1,8,0.5,0.416167856717006
"207",42,2,8,1,0.372597640269046
"208",42,3,8,0.05,0.343416245547309
"209",42,4,6,1,0.395889197761128
"210",42,5,4,0.1,0.532026190264713
"211",43,1,0.5,0,0.613125218566617
"212",43,2,0,0.01,0.470930009154755
"213",43,3,6,0,0.304771157133339
"214",43,4,1,0.05,0.434604455067445
"215",43,5,8,0.2,0.38000981437089
"216",44,1,0,0.01,0.444925842343921
"217",44,2,8,0.5,0.45242673587513
"218",44,3,6,0.2,0.414838215132715
"219",44,4,8,0.2,0.389604850566885
"220",44,5,8,0.5,0.547002074834759
"221",45,1,8,1,0.288420024044782
"222",45,2,8,0.1,0.466645761921678
"223",45,3,8,2,0.334654930226428
"224",45,4,4,0.2,0.421082134996713
"225",45,5,6,0.2,0.46647731124288
"226",46,1,8,1,0.490020940912802
"227",46,2,0,0.05,0.353966159894964
"228",46,3,3,0,0.293897561626348
"229",46,4,3,0.05,0.472399567896947
"230",46,5,6,0.2,0.538135671631496
"231",47,1,2,0.05,0.334179537819606
"232",47,2,8,1,0.391363963070778
"233",47,3,2,0.05,0.548239444058035
"234",47,4,8,1,0.312966087168451
"235",47,5,8,0.2,0.437740968725976
"236",48,1,8,1,0.373620871585154
"237",48,2,8,1,0.347538748523566
"238",48,3,3,0.1,0.40928428908926
"239",48,4,8,0.1,0.361281662219638
"240",48,5,6,0.1,0.567980796131755
"241",49,1,3,0.1,0.443235434816772
"242",49,2,6,0.1,0.546294214991288
"243",49,3,4,0.1,0.360051682532391
"244",49,4,6,0.1,0.61318111033663
"245",49,5,2,0.1,0.771683859420548
"246",50,1,6,0.1,0.482166900153284
"247",50,2,0,0.05,0.405878924530917
"248",50,3,1,0,0.393129451905035
"249",50,4,2,0.01,0.428257305657528
"250",50,5,6,0.2,0.739460269899589
