"","model","target","theta","lambda","rmse"
"144",29,4,0,0,0.250605216812662
"145",29,5,2,0,0.323680238435283
"146",30,1,8,0,0.160634295744586
"147",30,2,3,0,0.251629665792504
"148",30,3,3,0,0.315882152906906
"149",30,4,4,0,0.19798251421034
"150",30,5,1,0,0.29918017360645
"151",31,1,0,0,0.326163587162489
"152",31,2,3,0,0.161723084431968
"153",31,3,1,0,0.253927827591656
"154",31,4,2,0,0.352181533627719
"155",31,5,3,0,0.484741119241252
"156",32,1,2,0,0.266448987650911
"157",32,2,4,0,0.278008604246148
"158",32,3,4,0,0.22441724839318
"159",32,4,1,0,0.252391449372815
"160",32,5,2,0,0.279813785751956
"161",33,1,2,0,0.3016390823038
"162",33,2,6,0,0.192459306391619
"163",33,3,3,0,0.270301388072702
"164",33,4,4,0,0.187117018758915
"165",33,5,1,0,0.370941764852042
"166",34,1,0,0,0.208468212716401
"167",34,2,6,0,0.253384205318921
"168",34,3,4,0,0.311385251746691
"169",34,4,4,0,0.138519585456737
"170",34,5,2,0,0.339624625090541
"171",35,1,0,0,0.239149132005595
"172",35,2,4,0,0.305378449640116
"173",35,3,0.5,0,0.318850269481715
"174",35,4,0,0,0.195499740935771
"175",35,5,0.5,0,0.369305820192082
"176",36,1,3,0,0.245902770838552
"177",36,2,0,0,0.246412172308287
"178",36,3,1,0,0.245843045618946
"179",36,4,0.1,0,0.211774300053897
"180",36,5,3,0,0.338330250575282
"181",37,1,1,0,0.230970969438225
"182",37,2,6,0,0.195260396578222
"183",37,3,3,0,0.225887649849311
"184",37,4,2,0,0.164165279993944
"185",37,5,2,0,0.36487126587599
"186",38,1,1,0,0.247991248070646
"187",38,2,3,0,0.187185803682086
"188",38,3,2,0,0.28077711486021
"189",38,4,2,0,0.204570836720081
"190",38,5,2,0,0.29206662134607
"191",39,1,4,0,0.327971100199676
"192",39,2,0.5,0,0.227577765082785
"193",39,3,6,0,0.194585605611171
"194",39,4,2,0,0.200766812710804
"195",39,5,2,0,0.349507595961084
"196",40,1,4,0,0.26243741411435
"197",40,2,2,0,0.246074892866794
"198",40,3,2,0,0.23824318092299
"199",40,4,2,0,0.241420622608161
"200",40,5,4,0,0.216878666189818
"201",41,1,8,0,0.278260235145891
"202",41,2,0,0,0.255178051728665
"203",41,3,4,0,0.314988407919923
"204",41,4,3,0,0.263687006044946
"205",41,5,2,0,0.296998511805463
"206",42,1,4,0,0.294986782793629
"207",42,2,6,0,0.210742787969288
"208",42,3,6,0,0.231423395158114
"209",42,4,0.1,0,0.191163439422153
"210",42,5,2,0,0.336127294083966
"211",43,1,1,0,0.336993809528168
"212",43,2,0.1,0,0.35082273332679
"213",43,3,0,0,0.281635500594628
"214",43,4,1,0,0.29642156902136
"215",43,5,2,0,0.240950574940583
"216",44,1,1,0,0.323616238000747
"217",44,2,4,0,0.223252293164493
"218",44,3,4,0,0.217543835959436
"219",44,4,1,0,0.248038100935396
"220",44,5,1,0,0.296583170284358
"221",45,1,3,0,0.207859336937486
"222",45,2,1,0,0.36078665352851
"223",45,3,1,0,0.146618908593235
"224",45,4,1,0,0.263052679515548
"225",45,5,2,0,0.282731251940087
"226",46,1,0,0,0.180877927311509
"227",46,2,0,0,0.247385515157753
"228",46,3,0.5,0,0.259444121831008
"229",46,4,0.1,0,0.333046182660036
"230",46,5,2,0,0.334995739282904
"231",47,1,1,0,0.205041759300206
"232",47,2,0,0,0.280098655518434
"233",47,3,1,0,0.266027246530712
"234",47,4,6,0,0.217516482282588
"235",47,5,3,0,0.305958326960841
"236",48,1,8,0,0.100485713556899
"237",48,2,0,0,0.219715282058018
"238",48,3,6,0,0.204229750156209
"239",48,4,0.5,0,0.204603151128353
"240",48,5,2,0,0.36452718018094
"241",49,1,2,0,0.299267662636993
"242",49,2,4,0,0.363558816688994
"243",49,3,3,0,0.216211186176832
"244",49,4,2,0,0.407606846887917
"245",49,5,2,0,0.448550028450245
"246",50,1,2,0,0.257135008349744
"247",50,2,0,0,0.302911679251341
"248",50,3,4,0,0.237820680711581
"249",50,4,0,0,0.267683043080914
"250",50,5,0.5,0,0.575164553647605
