"","model","target","theta","lambda","rmse"
"135",27,5,3,0.05,0.356841119526372
"136",28,1,8,0.05,0.176312286066571
"137",28,2,8,0.05,0.255548578499713
"138",28,3,8,0,0.230344590189953
"139",28,4,8,0.05,0.163535340186975
"140",28,5,4,0.05,0.345849133294809
"141",29,1,8,0.5,0.230643073152451
"142",29,2,1,0.05,0.332908182765825
"143",29,3,8,0.05,0.239628758661908
"144",29,4,0.5,0.01,0.24999222855366
"145",29,5,8,0.5,0.3175739035677
"146",30,1,8,0.05,0.194622859825178
"147",30,2,6,0.1,0.245418138156701
"148",30,3,8,0.2,0.292027600236548
"149",30,4,8,0,0.197968346927448
"150",30,5,2,0.01,0.297556835842736
"151",31,1,0,0.01,0.323399762468998
"152",31,2,8,0.2,0.147987014208169
"153",31,3,3,0.01,0.251894122944809
"154",31,4,8,0.2,0.345112590737185
"155",31,5,8,0.1,0.479210906062016
"156",32,1,6,0.2,0.247536317447321
"157",32,2,8,0.05,0.269407922997075
"158",32,3,8,0.01,0.221729699403894
"159",32,4,6,0.1,0.245081506043602
"160",32,5,8,0.2,0.262274691738011
"161",33,1,4,0.01,0.300901330850575
"162",33,2,8,0,0.19637653149248
"163",33,3,8,0.1,0.25443801244643
"164",33,4,8,0.2,0.186136748529898
"165",33,5,8,1,0.341581576176717
"166",34,1,0,0.01,0.207234926595089
"167",34,2,8,0.5,0.239707908609209
"168",34,3,8,0.05,0.306538029082432
"169",34,4,8,0.05,0.132251767089456
"170",34,5,6,0.1,0.332010874610201
"171",35,1,0,0.01,0.237012002907173
"172",35,2,8,0.5,0.292982844222737
"173",35,3,0.5,0,0.318764184377999
"174",35,4,0,0,0.195498647325589
"175",35,5,1,0.01,0.366610076660326
"176",36,1,8,0.5,0.200980599720543
"177",36,2,8,0.2,0.239482541528127
"178",36,3,8,0.1,0.224276282973412
"179",36,4,8,0.2,0.209539839780296
"180",36,5,8,0.2,0.313818916473593
"181",37,1,8,0.1,0.224294077711917
"182",37,2,8,0.05,0.186767162141293
"183",37,3,6,0,0.225877515494495
"184",37,4,6,0.05,0.160728548047957
"185",37,5,8,0.2,0.343664009445207
"186",38,1,2,0.01,0.247425326508039
"187",38,2,8,0.1,0.165241582733417
"188",38,3,8,0.05,0.277758828482386
"189",38,4,6,0.2,0.193005157544405
"190",38,5,8,0.2,0.288088946961124
"191",39,1,8,0.2,0.319945913407942
"192",39,2,8,0.2,0.216484925214746
"193",39,3,8,0.01,0.218785666058897
"194",39,4,8,0.2,0.199644125886747
"195",39,5,8,0.2,0.339494755248811
"196",40,1,8,0.5,0.237838732337704
"197",40,2,6,0.1,0.235289740216168
"198",40,3,4,0.01,0.236385105744525
"199",40,4,4,0,0.241401599857381
"200",40,5,8,0.05,0.20973051249348
"201",41,1,8,2,0.283934685254077
"202",41,2,0,0,0.255175558533204
"203",41,3,8,0.05,0.31078514935177
"204",41,4,8,0.1,0.255177734328767
"205",41,5,8,0.2,0.276831561779229
"206",42,1,8,0.01,0.294931091507607
"207",42,2,8,0.01,0.215933673633097
"208",42,3,8,0.01,0.241000368323915
"209",42,4,8,0.2,0.174587936545986
"210",42,5,4,0.2,0.324359730750334
"211",43,1,3,0,0.336905351338135
"212",43,2,8,0.5,0.318173858991881
"213",43,3,0,0.01,0.280857078994685
"214",43,4,8,0.5,0.271391408125075
"215",43,5,8,0.1,0.22628821495989
"216",44,1,8,0.1,0.300101646730498
"217",44,2,8,0.2,0.194366940320699
"218",44,3,8,0.2,0.191115358269032
"219",44,4,3,0.05,0.241836280293834
"220",44,5,3,0.05,0.290889256507678
"221",45,1,8,0.1,0.199981893308367
"222",45,2,8,1,0.332373896604123
"223",45,3,3,0,0.146209206441984
"224",45,4,6,0.1,0.261717822965909
"225",45,5,6,0.1,0.279925270952611
"226",46,1,0.1,0.01,0.180557783205382
"227",46,2,0,0.01,0.245239861093105
"228",46,3,8,1,0.248685539316549
"229",46,4,1,0.01,0.332328366223319
"230",46,5,8,0.5,0.320987057608168
"231",47,1,6,0.1,0.199355410532071
"232",47,2,0,0.01,0.277459752038021
"233",47,3,2,0.01,0.265671764517446
"234",47,4,8,0.2,0.203199333159215
"235",47,5,8,0.2,0.293827866433822
"236",48,1,8,0.5,0.204331133958131
"237",48,2,8,0.5,0.189968922533431
"238",48,3,8,0.1,0.198274628849125
"239",48,4,8,0.1,0.204256752063512
"240",48,5,6,0.2,0.358876137400818
"241",49,1,8,0.05,0.293704700946724
"242",49,2,8,1,0.349138393302976
"243",49,3,8,0.05,0.207813121591217
"244",49,4,8,0.5,0.358807558057678
"245",49,5,4,0.2,0.44413929905284
"246",50,1,8,0.1,0.245242291507143
"247",50,2,0,0,0.302899987082696
"248",50,3,8,0.05,0.230024132364106
"249",50,4,0,0.01,0.265075956896605
"250",50,5,1,0.01,0.573564186087816
