"","model","target","theta","lambda","rmse"
"135",27,5,8,0.1,0.271660845951599
"136",28,1,0.5,0.05,0.384419282935448
"137",28,2,0.5,0.01,0.27564508044743
"138",28,3,2,0.05,0.315493094975198
"139",28,4,1,0.05,0.663754389110856
"140",28,5,2,0.1,0.438099642522899
"141",29,1,8,1,0.555399785564298
"142",29,2,2,0.01,0.319286148787714
"143",29,3,8,0.2,0.552186493886233
"144",29,4,8,0.2,0.278999809652261
"145",29,5,8,0.2,0.352067890677947
"146",30,1,8,0.2,0.741377623892495
"147",30,2,1,0.05,0.529780333483842
"148",30,3,1,0.05,0.586271619628801
"149",30,4,6,0.05,0.335593634769914
"150",30,5,1,0.01,0.382265383905266
"151",31,1,8,0.2,0.423448763570578
"152",31,2,2,0.05,0.449955689855025
"153",31,3,8,0.5,0.412464064563333
"154",31,4,2,0.05,0.385683345455164
"155",31,5,6,0.2,0.376470590919979
"156",32,1,8,1,0.532057488961757
"157",32,2,0.1,0.01,0.383783168014584
"158",32,3,2,0.05,0.32595738489819
"159",32,4,8,0.2,0.28872700223534
"160",32,5,8,0.1,0.295576057615503
"161",33,1,8,0.2,0.351107632199808
"162",33,2,0.5,0,0.49430325366318
"163",33,3,8,0.05,0.276758484243532
"164",33,4,8,0.2,0.353105601884125
"165",33,5,8,0.2,0.268518357827528
"166",34,1,0,0,0.281362541313625
"167",34,2,2,0.05,0.276644015592853
"168",34,3,8,0.1,0.291009182937547
"169",34,4,8,0.2,0.32317321538452
"170",34,5,3,0.05,0.580327392307962
"171",35,1,8,0.5,0.370387777780175
"172",35,2,8,0.2,0.317925218952169
"173",35,3,8,0.5,0.411760699739769
"174",35,4,8,0.1,0.276073558273823
"175",35,5,0,0.01,0.317346184287871
"176",36,1,0.5,0.05,0.313740132394453
"177",36,2,1,0.01,0.347787644881746
"178",36,3,0.5,0.05,0.55999618421018
"179",36,4,3,0.05,0.271653427174471
"180",36,5,8,0.2,0.311788150264866
"181",37,1,8,0.2,0.444533711948597
"182",37,2,3,0.05,0.259143373304308
"183",37,3,0.5,0.05,0.455864137876268
"184",37,4,8,0.2,0.311278701692421
"185",37,5,4,0,0.371984763553284
"186",38,1,8,1,0.347710625073392
"187",38,2,8,0.5,0.421685615684125
"188",38,3,8,0.5,0.516891464137289
"189",38,4,8,0.01,0.260069118105649
"190",38,5,8,0.2,0.353974523968426
"191",39,1,8,0.5,0.52000351551378
"192",39,2,8,1,0.484794611090324
"193",39,3,4,0.05,0.383472863102493
"194",39,4,8,0.1,0.360414865614374
"195",39,5,8,0.2,0.274559985848145
"196",40,1,6,0.2,0.57223069023046
"197",40,2,8,1,0.292441524740632
"198",40,3,0.5,0.01,0.306747235772734
"199",40,4,8,0.2,0.316793416578523
"200",40,5,8,0.2,0.311995811922958
"201",41,1,2,0.1,0.439110258807654
"202",41,2,8,0.2,0.388157014433873
"203",41,3,1,0.05,0.326655785665842
"204",41,4,8,0.2,0.290360576023245
"205",41,5,8,0.2,0.235682119550734
"206",42,1,8,1,0.728100513652107
"207",42,2,8,0.5,0.422150731390632
"208",42,3,6,0.2,0.505412613060877
"209",42,4,8,0.2,0.268760227700822
"210",42,5,8,0.2,0.338257595185552
"211",43,1,8,1,0.521465297344525
"212",43,2,8,1,0.359935235491875
"213",43,3,2,0,0.394515580818494
"214",43,4,8,0.2,0.292818403402208
"215",43,5,6,0.05,0.248223918995028
"216",44,1,6,0.1,0.260078888083786
"217",44,2,8,1,0.301918243009562
"218",44,3,1,0,0.316638413610697
"219",44,4,8,0.2,0.270757311174061
"220",44,5,6,0.1,0.280697438554083
"221",45,1,8,1,0.4211084358983
"222",45,2,6,0.1,0.385770483439342
"223",45,3,8,1,0.372672140012213
"224",45,4,6,0.2,0.310990569957839
"225",45,5,8,0.1,0.261915033270733
"226",46,1,8,1,0.413291661985409
"227",46,2,8,1,0.511995428516977
"228",46,3,2,0.05,0.312672019255924
"229",46,4,4,0.1,0.357697847204619
"230",46,5,8,0.2,0.292115355125982
"231",47,1,0.1,0.05,0.582686732909564
"232",47,2,8,0.2,0.459800415242095
"233",47,3,8,0.2,0.426648028781133
"234",47,4,0.1,0,0.319135723623162
"235",47,5,4,0.1,0.35425827959558
"236",48,1,0.5,0.01,0.241372182324717
"237",48,2,8,1,0.326200778706712
"238",48,3,8,1,0.399846515827423
"239",48,4,8,0.2,0.277108831354212
"240",48,5,8,0.05,0.317277421711951
"241",49,1,6,0,0.203998118470347
"242",49,2,8,0.05,0.2812495290489
"243",49,3,3,0.05,0.282317853142697
"244",49,4,6,0.2,0.334226422987398
"245",49,5,8,0.2,0.342768166152505
"246",50,1,2,0.05,0.533998030749082
"247",50,2,3,0.05,0.353223910481876
"248",50,3,2,0.05,0.384857045255219
"249",50,4,8,0.2,0.245630785030351
"250",50,5,3,0.05,0.264222455533198
