"","model","target","theta","lambda","rmse"
"137",28,2,2,0.1,0.261812426255443
"138",28,3,8,1,0.29595750183563
"139",28,4,2,0.2,0.671301008488253
"140",28,5,2,0.2,0.440144832486932
"141",29,1,8,8,0.556999952510036
"142",29,2,2,0.01,0.320024582887161
"143",29,3,6,0.5,0.552607625246132
"144",29,4,8,0.5,0.289678012165933
"145",29,5,8,0.5,0.351365212816519
"146",30,1,6,1,0.732368481408068
"147",30,2,0,0.01,0.53634911583826
"148",30,3,1,0.05,0.595759348107694
"149",30,4,6,0.1,0.348806944855162
"150",30,5,2,0.05,0.383628681466007
"151",31,1,8,2,0.430680730995251
"152",31,2,0,0.01,0.457088045595901
"153",31,3,8,2,0.409212584074745
"154",31,4,3,0.1,0.388941679934758
"155",31,5,2,0.1,0.387323581443406
"156",32,1,8,8,0.531963338132876
"157",32,2,0.1,0.01,0.387201937881621
"158",32,3,0.5,0.01,0.327940126046026
"159",32,4,8,0.5,0.305410223637988
"160",32,5,8,0.2,0.295314467244729
"161",33,1,8,1,0.350848017457288
"162",33,2,1,0.05,0.49198305467625
"163",33,3,1,0,0.279495629481107
"164",33,4,2,0.05,0.356894014853808
"165",33,5,8,0.5,0.295604119905526
"166",34,1,0,0.01,0.280955968264404
"167",34,2,0.1,0.01,0.277349962895292
"168",34,3,6,0.2,0.282707923271064
"169",34,4,8,2,0.334455082357034
"170",34,5,3,0.2,0.577973257877594
"171",35,1,8,8,0.369619967855432
"172",35,2,8,0.5,0.310861710641365
"173",35,3,8,8,0.411727563301243
"174",35,4,6,0.2,0.273787473173556
"175",35,5,0.5,0.01,0.322477435991268
"176",36,1,0,0,0.320065766547399
"177",36,2,1,0.01,0.347441819190815
"178",36,3,1,0.1,0.564129598971568
"179",36,4,3,0.05,0.272981516350615
"180",36,5,8,0.5,0.30689491516899
"181",37,1,8,1,0.444776864888515
"182",37,2,1,0.01,0.266880496214199
"183",37,3,0,0.01,0.457859481003883
"184",37,4,8,1,0.320648791992735
"185",37,5,6,0.2,0.36853481806302
"186",38,1,8,1,0.333730172691926
"187",38,2,8,2,0.41983954992147
"188",38,3,6,1,0.5133296949206
"189",38,4,6,0.1,0.255178799685001
"190",38,5,8,0.5,0.349145902970062
"191",39,1,8,2,0.516986691153435
"192",39,2,8,8,0.484860213828367
"193",39,3,4,0.05,0.392626037161526
"194",39,4,6,0.2,0.381891818326025
"195",39,5,8,0.5,0.271489795069234
"196",40,1,8,1,0.563939076656141
"197",40,2,8,5,0.2915471335095
"198",40,3,8,0.5,0.305029038012599
"199",40,4,8,0.5,0.323132552009574
"200",40,5,6,0.5,0.313316974791252
"201",41,1,8,2,0.439172221073855
"202",41,2,8,1,0.383610366667441
"203",41,3,4,0.2,0.323152173602054
"204",41,4,8,0.2,0.290980499304543
"205",41,5,8,1,0.231261059927877
"206",42,1,6,2,0.722087752142148
"207",42,2,8,8,0.425984318588118
"208",42,3,8,2,0.50748454812534
"209",42,4,8,0.5,0.281185052462705
"210",42,5,8,0.5,0.339379793868133
"211",43,1,8,5,0.518545853131756
"212",43,2,8,2,0.354444515939412
"213",43,3,2,0.01,0.394140977171899
"214",43,4,8,1,0.298794656753301
"215",43,5,8,0.5,0.234964267751536
"216",44,1,6,0.1,0.26760620598882
"217",44,2,8,8,0.302199343822133
"218",44,3,1,0.05,0.31525916987938
"219",44,4,8,1,0.274845651070787
"220",44,5,4,0.1,0.291365232239523
"221",45,1,8,8,0.421370618966498
"222",45,2,6,0.2,0.392836014711795
"223",45,3,8,5,0.371895527324449
"224",45,4,8,2,0.316712518946716
"225",45,5,6,0.2,0.265539382454882
"226",46,1,8,2,0.4096817334486
"227",46,2,8,8,0.512815222178188
"228",46,3,2,0.05,0.313878687541669
"229",46,4,4,0.1,0.359332157386497
"230",46,5,6,0.5,0.315468447614316
"231",47,1,8,2,0.580189479879596
"232",47,2,8,0.5,0.447182034963396
"233",47,3,4,0.2,0.428408850860565
"234",47,4,0.5,0.01,0.318880670801942
"235",47,5,4,0.2,0.360471268853601
"236",48,1,8,1,0.241236487133974
"237",48,2,8,1,0.30698684697244
"238",48,3,8,8,0.399553185448406
"239",48,4,8,1,0.284531365818246
"240",48,5,8,0.1,0.324298102533083
"241",49,1,8,0.2,0.19987633845396
"242",49,2,8,0.1,0.274618888843986
"243",49,3,4,0.2,0.274573770986931
"244",49,4,6,0.5,0.34545327806106
"245",49,5,6,0.5,0.341202749834552
"246",50,1,2,0.1,0.532659190946269
"247",50,2,4,0.2,0.355626283214451
"248",50,3,3,0.1,0.384260975588773
"249",50,4,8,0.5,0.253365684376612
"250",50,5,4,0.2,0.26053583350341
