"","model","target","theta","lambda","rmse"
"132",27,2,8,0.05,0.0951707636203268
"133",27,3,8,0,0.0720246010453977
"134",27,4,8,0.01,0.110772781000076
"135",27,5,8,0.01,0.0890613176255487
"136",28,1,8,1,0.171541662977132
"137",28,2,3,0.01,0.116100351756573
"138",28,3,8,0.05,0.111863782444494
"139",28,4,8,0.01,0.0770797967889633
"140",28,5,8,0.01,0.0690570567817497
"141",29,1,0,0.05,0.671622030202752
"142",29,2,6,0.1,0.292433547580411
"143",29,3,4,0.01,0.282516664801576
"144",29,4,0.5,0.01,0.477739152582463
"145",29,5,8,0.05,0.223684164501803
"146",30,1,6,0.05,0.0841016099995692
"147",30,2,8,0.05,0.0931414542612044
"148",30,3,8,0.05,0.0877312901707985
"149",30,4,8,0.05,0.140627775960739
"150",30,5,8,0.1,0.186822630990682
"151",31,1,8,0.2,0.153734983994544
"152",31,2,2,0,0.168754347913443
"153",31,3,4,0,0.127786406317321
"154",31,4,8,0.05,0.0986471884755556
"155",31,5,8,0.05,0.110603041124175
"156",32,1,8,0.1,0.217894939383992
"157",32,2,8,0.1,0.15881653681561
"158",32,3,8,0.05,0.105262053653756
"159",32,4,8,0,0.103023402190877
"160",32,5,8,0.05,0.089775940135898
"161",33,1,8,1,0.355240831903698
"162",33,2,8,0.01,0.164285081764671
"163",33,3,8,0.1,0.213067571636041
"164",33,4,6,0.05,0.125123303721815
"165",33,5,8,0.05,0.131337956442901
"166",34,1,0,0.01,0.147416484666035
"167",34,2,8,0.1,0.295040257115304
"168",34,3,0.1,0,0.29579798162407
"169",34,4,3,0.01,0.143456767046542
"170",34,5,2,0.01,0.15587042350469
"171",35,1,8,0.1,0.107684228373708
"172",35,2,4,0.01,0.108270716907894
"173",35,3,8,0.1,0.131621169160133
"174",35,4,8,0.05,0.0960168609321864
"175",35,5,2,0,0.108651720046964
"176",36,1,8,0.1,0.21465758473761
"177",36,2,4,0.01,0.169054664981914
"178",36,3,3,0.01,0.226814330018522
"179",36,4,3,0.01,0.16171676242712
"180",36,5,3,0.01,0.150205238708446
"181",37,1,8,0,0.133097251795959
"182",37,2,8,0.01,0.109556922469298
"183",37,3,4,0.01,0.126928377408537
"184",37,4,8,0.01,0.114621357702129
"185",37,5,8,0.01,0.0967646834177401
"186",38,1,8,0,0.0803420180527477
"187",38,2,8,0,0.0800597165533279
"188",38,3,4,0.01,0.0887324952411218
"189",38,4,8,0.01,0.104417846964971
"190",38,5,8,0.05,0.14952190067628
"191",39,1,8,0.2,0.319063372318495
"192",39,2,2,0,0.209593344890323
"193",39,3,8,0.1,0.19128983528831
"194",39,4,8,0.05,0.154265016367234
"195",39,5,8,0.1,0.161504128609752
"196",40,1,8,0.1,0.129648459714341
"197",40,2,8,0.01,0.119215367097528
"198",40,3,8,0.01,0.0921821798852879
"199",40,4,8,0.01,0.105381352185841
"200",40,5,8,0.05,0.115519873511995
"201",41,1,8,0.1,0.115590397088579
"202",41,2,8,0.05,0.12386034376443
"203",41,3,8,0,0.105092357960745
"204",41,4,8,0.01,0.0922105743108051
"205",41,5,8,0.01,0.0799266041207253
"206",42,1,8,0,0.213620901591374
"207",42,2,3,0.01,0.137539556526229
"208",42,3,4,0,0.134450628477901
"209",42,4,8,0.01,0.0853977135286479
"210",42,5,8,0.01,0.0925028041407653
"211",43,1,8,0.05,0.0735244413069788
"212",43,2,8,0.01,0.0732923392588621
"213",43,3,6,0.05,0.0843090169348414
"214",43,4,8,0.1,0.0995064078367371
"215",43,5,3,0.01,0.0985725961341502
"216",44,1,6,0.05,0.197356019186217
"217",44,2,4,0.01,0.125070064389002
"218",44,3,8,0.01,0.124761658712002
"219",44,4,8,0.05,0.094548903871999
"220",44,5,8,0,0.107380361808753
"221",45,1,8,0.1,0.163517014592118
"222",45,2,8,0.05,0.112119583775448
"223",45,3,4,0.01,0.144838480742987
"224",45,4,8,0.05,0.119631548545937
"225",45,5,8,0.01,0.0860652394288822
"226",46,1,8,0.05,0.155317174378923
"227",46,2,8,0.05,0.106387253144304
"228",46,3,8,0.05,0.110518138935268
"229",46,4,8,0.05,0.0994604533816285
"230",46,5,8,0.1,0.111604015182525
"231",47,1,8,0.2,0.274272650747115
"232",47,2,6,0.01,0.114732818183506
"233",47,3,6,0.01,0.133031470789843
"234",47,4,8,0.01,0.0764952987370836
"235",47,5,8,0.01,0.0921901930935937
"236",48,1,4,0,0.0628365357798633
"237",48,2,4,0.01,0.0849675174285307
"238",48,3,4,0,0.0794379641783879
"239",48,4,8,0.05,0.0702699418661859
"240",48,5,8,0.05,0.0892676372447713
"241",49,1,8,0.05,0.118335906115601
"242",49,2,0,0,0.0914854711783818
"243",49,3,8,0.05,0.100900096900017
"244",49,4,6,0.05,0.130874029127195
"245",49,5,2,0.01,0.158061212687146
"246",50,1,8,0.01,0.122682904010511
"247",50,2,6,0,0.10648155423361
"248",50,3,8,0.01,0.0853126570728238
"249",50,4,2,0.01,0.15526182914909
"250",50,5,2,0.01,0.226712910472635
