"bhat","rho","rmse"
0.104737725717476,0.0676235815541909,0.324023509442359
0.0336122851541137,0.0233632835203638,0.345454058160202
0.184673382669232,0.110896992522813,0.348233318915697
-0.0231169780483205,-0.00935683072552586,0.378057754151666
0.108404345031226,0.068594498488723,0.372547911147223
0.225632227546543,0.104981873658689,0.363567308815569
0.13113760129748,0.0892876900444108,0.406274189983187
0.0094376775393373,0.0046811503773924,0.372247060677496
0.0866479748481494,0.0511821294883336,0.311262621240465
0.239685551116573,0.154709307066058,0.34896648370339
0.0762837193667182,0.0423520836735126,0.372410893111452
0.21760348550335,0.146140912496449,0.368594094714299
0.0988607787149801,0.0664232971651726,0.350430217005027
0.0731775137502852,0.0511984103311106,0.327893461815766
0.0033302646994974,0.00229499520137054,0.32505100021643
0.0845881166644855,0.0485008218816088,0.317737107726861
0.124895726568348,0.0687057405662082,0.363984707004344
0.065289657656218,0.0376612249743326,0.395122805255693
-0.0624498345168473,-0.0384969703648732,0.368754765763161
0.136345171768759,0.094075416430646,0.364589452696396
-0.194867796793332,-0.123351687865818,0.356573168581525
0.264165279793595,0.203731999914425,0.425721967794732
0.0775641673972282,0.0465887839885152,0.362207618112962
0.0287926327501069,0.0203119662568444,0.327163408315881
0.13349195866488,0.0843355708691397,0.298127548878955
0.0492930539317231,0.0303677970291238,0.310821829637017
0.111252544209335,0.0865370459280037,0.37616448625995
-0.0821396373143597,-0.0543404677076198,0.331146048511703
0.0825726816268463,0.0507248389309049,0.296455279651521
0.383771682898033,0.281982640196333,0.412238953008567
0.149311223622243,0.0972044050029497,0.285883431838933
0.166860928471347,0.0889645115098053,0.324611692700531
-0.0369089177753691,-0.0256438155842764,0.349685841072888
0.0222866319725792,0.0133511351064563,0.319393861514689
0.110509952847016,0.0660381536765323,0.348421552463888
0.0497958482677228,0.0294277862057202,0.363351343669324
0.0529279579893674,0.0283025158188572,0.399797800260033
0.206255203542483,0.117188180859232,0.31693766658442
-0.00233544753173203,-0.00152645913308281,0.343664888825195
-0.0270328217559741,-0.0145936956965343,0.332164072284936
0.107690680265559,0.063755329547244,0.336508707891035
0.113026726720384,0.0685969248582764,0.344792567121477
0.142540773710513,0.121825360786032,0.358358444914241
-0.0141428588804485,-0.00857343755800238,0.360739344804363
0.0987365756115778,0.0598393670682591,0.342166263601857
0.00804419232546934,0.00495926835536223,0.372270041904001
0.181090918204928,0.113929166336652,0.321298619782857
0.174700404326733,0.0882004121266175,0.347851074052739
0.133356558181483,0.078678758802586,0.317609683386031
-0.00746820419847268,-0.00668050282542534,0.354191451657073
