"","model","target","theta","lambda","rmse"
"133",27,3,8,0,0.0720246010453977
"134",27,4,8,0.01,0.110766462796468
"135",27,5,8,0.01,0.0886345344913888
"136",28,1,8,1,0.160926175997802
"137",28,2,8,0.1,0.112571781940693
"138",28,3,8,0.1,0.107257985913673
"139",28,4,8,0.01,0.0796269217121145
"140",28,5,8,0.01,0.0684029288364058
"141",29,1,0,0.05,0.672183270897995
"142",29,2,0.5,0.01,0.302148254921401
"143",29,3,4,0.05,0.278440673116537
"144",29,4,1,0.05,0.478146362700179
"145",29,5,8,0.1,0.226208563560398
"146",30,1,6,0.05,0.0845961838721094
"147",30,2,8,0.1,0.0873078749331937
"148",30,3,3,0.01,0.0899466457211255
"149",30,4,8,0.1,0.139879629027262
"150",30,5,8,0.5,0.181424421918301
"151",31,1,8,1,0.152978779986679
"152",31,2,2,0.01,0.167757460164267
"153",31,3,4,0,0.127786406317321
"154",31,4,6,0.05,0.100655991035729
"155",31,5,8,0.1,0.109693072462259
"156",32,1,8,0.2,0.206978953139887
"157",32,2,8,0.5,0.162049848978038
"158",32,3,8,0.1,0.109297913118564
"159",32,4,8,0.05,0.102098155557114
"160",32,5,8,0.05,0.0917944590710845
"161",33,1,8,1,0.349443293591649
"162",33,2,8,0.1,0.15634685584195
"163",33,3,8,0.1,0.21200840953226
"164",33,4,4,0.05,0.124193696995585
"165",33,5,8,0.2,0.12532848414537
"166",34,1,0,0,0.148128070652916
"167",34,2,8,0.5,0.281616082528659
"168",34,3,0.5,0.01,0.295535486649271
"169",34,4,3,0.05,0.142693159333489
"170",34,5,2,0.01,0.15792419150471
"171",35,1,8,0.2,0.107659646816691
"172",35,2,8,0.1,0.102684368636594
"173",35,3,8,0.2,0.127150742193828
"174",35,4,8,0.1,0.0931593469984825
"175",35,5,8,0.2,0.107794763209353
"176",36,1,8,0.2,0.206625351719159
"177",36,2,8,0.2,0.166222759176137
"178",36,3,8,0.2,0.222848531542647
"179",36,4,8,0.1,0.161206133633249
"180",36,5,4,0.05,0.148513168810804
"181",37,1,8,0.2,0.125526682554082
"182",37,2,8,0.1,0.105332408642884
"183",37,3,8,0.1,0.125696797353753
"184",37,4,8,0.1,0.108610316306566
"185",37,5,8,0.05,0.0945120722336758
"186",38,1,8,0,0.0803420180527477
"187",38,2,8,0.05,0.0784733487180416
"188",38,3,8,0.05,0.0875463552027264
"189",38,4,8,0.05,0.101415886616027
"190",38,5,8,0.1,0.148236979381822
"191",39,1,8,0.5,0.308545958495457
"192",39,2,2,0.01,0.209149670252393
"193",39,3,8,0.2,0.191315106955217
"194",39,4,8,0.1,0.15555142851716
"195",39,5,6,0.2,0.167372392357387
"196",40,1,6,0.1,0.132561108671818
"197",40,2,8,0.05,0.115191878024349
"198",40,3,4,0.01,0.0925786599120524
"199",40,4,8,0.05,0.103345292278992
"200",40,5,8,0.2,0.109665869028907
"201",41,1,8,0.2,0.111489283796935
"202",41,2,8,0.1,0.117189578089642
"203",41,3,8,0,0.105092357960745
"204",41,4,8,0.05,0.0907226397059086
"205",41,5,8,0.05,0.0769942189900616
"206",42,1,8,0.2,0.203211706094479
"207",42,2,3,0.05,0.136463493314008
"208",42,3,8,0.1,0.128740406983366
"209",42,4,8,0.05,0.0869255312119229
"210",42,5,8,0.05,0.0928999144642389
"211",43,1,8,0.05,0.0752852711930366
"212",43,2,8,0.05,0.070435984680599
"213",43,3,8,0.05,0.0824406773275678
"214",43,4,6,0.1,0.0964767425256922
"215",43,5,6,0.1,0.0977557752635037
"216",44,1,8,0.1,0.192048459093569
"217",44,2,4,0.05,0.123353757173577
"218",44,3,8,0.1,0.119114916306282
"219",44,4,8,0.1,0.0945665746254901
"220",44,5,8,0.1,0.103220589153078
"221",45,1,8,0.2,0.164769935447532
"222",45,2,8,0.1,0.107078356346181
"223",45,3,3,0.01,0.144255411075278
"224",45,4,8,0.05,0.119161733857886
"225",45,5,8,0.05,0.085591718644544
"226",46,1,8,0.2,0.152068825995965
"227",46,2,8,0.2,0.100098995978484
"228",46,3,8,0.1,0.109332288575636
"229",46,4,8,0.1,0.100541382113589
"230",46,5,8,0.2,0.111066693798359
"231",47,1,8,0.5,0.268404434375601
"232",47,2,4,0.01,0.115518082518582
"233",47,3,8,0.1,0.129390768796183
"234",47,4,8,0.05,0.0772735485188501
"235",47,5,8,0.05,0.0878739288469524
"236",48,1,4,0.01,0.0623189390103434
"237",48,2,4,0.01,0.0869050198641934
"238",48,3,8,0.05,0.0749558001129391
"239",48,4,8,0.05,0.0720400477875643
"240",48,5,8,0.05,0.0883670280926092
"241",49,1,8,0.1,0.119358062803163
"242",49,2,0,0,0.0914854711783818
"243",49,3,0.5,0,0.102856704899994
"244",49,4,6,0.1,0.132535204230486
"245",49,5,1,0.01,0.157707299864088
"246",50,1,8,0.1,0.117673596242765
"247",50,2,6,0.05,0.0996331874699933
"248",50,3,4,0.01,0.0868413104705685
"249",50,4,6,0.2,0.152115029032472
"250",50,5,1,0.01,0.227413013239064
